Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
Christian Eriksen,dk DEN,MF,Brentford,29,1992,10.4,1,22,8,36.4,2.11,0.77,0.05,0.13,23.2,5,0,0,1.4,1.4,0.07,-0.4,-0.4
Oghenekaro Etebo,ng NGA,MF,Watford,25,1995,4.5,0,3,0,0,0.67,0,0,,30.9,0,0,0,0,0,0.02,0,0
Jonny Evans,nir NIR,DF,Leicester City,33,1988,15,1,3,2,66.7,0.2,0.13,0.33,0.5,5.7,0,0,0,0.7,0.7,0.25,0.3,0.3
Eberechi Eze,eng ENG,MFFW,Crystal Palace,23,1998,6.7,1,10,1,10,1.49,0.15,0.1,1,20.2,1,0,0,0.5,0.5,0.05,0.5,0.5
Łukasz Fabiański,pl POL,GK,West Ham,36,1985,37,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Fabinho,br BRA,MF,Liverpool,27,1993,25.7,5,19,7,36.8,0.74,0.27,0.16,0.43,18.8,1,2,2,3.4,1.9,0.11,1.6,1.1
Kiko Femenía,es ESP,DF,Watford,30,1991,23.8,0,3,1,33.3,0.13,0.04,0,0,19.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1
Evan Ferguson,ie IRL,MF,Brighton,16,2004,0.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Nathan Ferguson,eng ENG,DF,Crystal Palace,20,2000,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Bruno Fernandes,pt POR,MF,Manchester Utd,26,1994,34.6,10,87,29,33.3,2.52,0.84,0.11,0.34,21.2,6,0,2,9.7,8.2,0.09,0.3,1.8
Álvaro Fernández,es ESP,GK,Brentford,23,1998,12,0,0,0,,0,0,,,,0,0,0,0,0,,0,0
Federico Fernández,ar ARG,DF,Newcastle Utd,32,1989,5.8,0,6,1,16.7,1.03,0.17,0,0,9.2,0,0,0,0.4,0.4,0.07,-0.4,-0.4
Fernandinho,br BRA,MFDF,Manchester City,36,1985,10.7,2,18,3,16.7,1.68,0.28,0.11,0.67,16.4,0,0,0,1.6,1.6,0.09,0.4,0.4
Roberto Firmino,br BRA,FW,Liverpool,29,1991,11,5,30,11,36.7,2.73,1,0.17,0.45,15.1,0,0,0,5,5,0.17,0,0
Junior Firpo,es ESP,DF,Leeds United,24,1996,19,0,12,1,8.3,0.63,0.05,0,0,13.3,0,0,0,0.9,0.9,0.08,-0.9,-0.9
Ashley Fletcher,eng ENG,FW,Watford,25,1995,0.3,0,2,1,50,6,3,0,0,19.9,0,0,0,0.4,0.4,0.19,-0.4,-0.4
Phil Foden,eng ENG,FW,Manchester City,21,2000,23.6,9,58,22,37.9,2.45,0.93,0.16,0.41,14.1,0,0,0,9.1,9.1,0.16,-0.1,-0.1
Wesley Fofana,fr FRA,DF,Leicester City,20,2000,7,0,3,1,33.3,0.43,0.14,0,0,8,0,0,0,0.2,0.2,0.08,-0.2,-0.2
